epoch,lr,loss,iou,val_loss,val_iou,val_epoch
0,0.001,1.0530887679620222,0.17906895367574807,,,
1,0.001,0.9576445005156777,0.2847160190589778,,,
2,0.001,0.8799356344071302,0.34661008281157846,,,
3,0.001,0.826517098329284,0.3673231734816565,,,
4,0.001,0.7931359816681255,0.3712977931044123,,,
5,0.001,0.7674973972819068,0.381368512196698,,,
6,0.001,0.7353052158247341,0.400515330957039,,,
7,0.001,0.7180764146826484,0.4028877511629365,,,
8,0.001,0.7060372084379196,0.41438371874006885,,,
9,0.001,0.6869020881977949,0.42313942514935127,0.6448386633396148,0.4748743224907907,9.0
10,0.001,0.6743936064568433,0.4264753350704797,0.6448386633396148,0.4748743224907907,9.0
11,0.001,0.6665617999705401,0.42752561396323174,0.6448386633396148,0.4748743224907907,9.0
12,0.001,0.6521405537020076,0.43593306185500247,0.6448386633396148,0.4748743224907907,9.0
13,0.001,0.6254398863423954,0.4612687731415634,0.6448386633396148,0.4748743224907907,9.0
14,0.001,0.6287946105003357,0.4522944407587836,0.6448386633396148,0.4748743224907907,9.0
15,0.001,0.6119519221511754,0.4674971820842349,0.6448386633396148,0.4748743224907907,9.0
16,0.001,0.6024123064496301,0.46646384386790046,0.6448386633396148,0.4748743224907907,9.0
17,0.001,0.5939337380907752,0.47116327460264645,0.6448386633396148,0.4748743224907907,9.0
18,0.001,0.5783324810591611,0.48628342193330737,0.6448386633396148,0.4748743224907907,9.0
19,0.001,0.5638326650316065,0.4997709850803931,0.5335125559568406,0.5381146275119426,19.0
20,0.001,0.5513475225730375,0.5071564097337492,0.5335125559568406,0.5381146275119426,19.0
21,0.001,0.5426349687305364,0.5141134429005405,0.5335125559568406,0.5381146275119426,19.0
22,0.001,0.5412457084113901,0.5070767816755876,0.5335125559568406,0.5381146275119426,19.0
23,0.001,0.5146996988491579,0.5359582845748824,0.5335125559568406,0.5381146275119426,19.0
24,0.001,0.5011885396458886,0.539806344382508,0.5335125559568406,0.5381146275119426,19.0
25,0.001,0.49033979868346994,0.553329748556181,0.5335125559568406,0.5381146275119426,19.0
