epoch,lr,loss,iou,val_loss,val_iou,val_epoch
0,0.001,1.0422295480966568,0.1634996295165164,,,
1,0.001,0.9366068501364101,0.30614462694535094,,,
2,0.001,0.8599421002648093,0.3523675325611682,,,
3,0.001,0.8156346109780398,0.37259798536301286,,,
4,0.001,0.792214342138984,0.3679811519276025,,,
5,0.001,0.7628815377300436,0.3805286300777142,,,
6,0.001,0.7374886924570258,0.391947290335374,,,
7,0.001,0.7161386554891412,0.404997661578132,,,
8,0.001,0.695639740337025,0.4146069833765013,,,
9,0.001,0.6849976032972336,0.42064985853462233,0.6254560375213623,0.4764635534862792,9.0
10,0.001,0.6738179312510924,0.4221468470656438,0.6254560375213623,0.4764635534862792,9.0
11,0.001,0.6589123051274907,0.4324262444428375,0.6254560375213623,0.4764635534862792,9.0
12,0.001,0.6493211009285667,0.43356454228171,0.6254560375213623,0.4764635534862792,9.0
13,0.001,0.6371697891842235,0.4410317513675393,0.6254560375213623,0.4764635534862792,9.0
14,0.001,0.6198432235555216,0.45605596829531053,0.6254560375213623,0.4764635534862792,9.0
15,0.001,0.6080730367790569,0.461930076794827,0.6254560375213623,0.4764635534862792,9.0
16,0.001,0.6014851114966653,0.4657876955569872,0.6254560375213623,0.4764635534862792,9.0
17,0.001,0.5946519036184658,0.4667474333351117,0.6254560375213623,0.4764635534862792,9.0
18,0.001,0.5870998176661405,0.47564179321647787,0.6254560375213623,0.4764635534862792,9.0
19,0.001,0.5620352734218944,0.4951223516894005,0.5691293036937713,0.4801701266005666,19.0
20,0.001,0.5448025085709312,0.5084857306689741,0.5691293036937713,0.4801701266005666,19.0
21,0.001,0.5373241786252368,0.5150463883782449,0.5691293036937713,0.4801701266005666,19.0
22,0.001,0.5276114358143373,0.5170281313180615,0.5691293036937713,0.4801701266005666,19.0
23,0.001,0.5167708871039477,0.5195292416555352,0.5691293036937713,0.4801701266005666,19.0
24,0.001,0.5104465687816794,0.5321425545180717,0.5691293036937713,0.4801701266005666,19.0
25,0.001,0.4939618720249696,0.5427181198510442,0.5691293036937713,0.4801701266005666,19.0
26,0.001,0.4890150258486921,0.5495531545698957,0.5691293036937713,0.4801701266005666,19.0
27,0.001,0.4774205054749142,0.5574240215613206,0.5691293036937713,0.4801701266005666,19.0
28,0.001,0.4661861502311446,0.5621671819851373,0.5691293036937713,0.4801701266005666,19.0
29,0.001,0.46286962723190134,0.5647411293138036,0.4385734927654266,0.6035398421326975,29.0
30,0.001,0.44026070494543423,0.5817630977621027,0.4385734927654266,0.6035398421326975,29.0
31,0.001,0.4441793818365444,0.5785820609528005,0.4385734927654266,0.6035398421326975,29.0
32,0.001,0.4197742546146566,0.6033865362096714,0.4385734927654266,0.6035398421326975,29.0
33,0.001,0.42910491675138474,0.5919362061309894,0.4385734927654266,0.6035398421326975,29.0
34,0.001,0.42505733601071616,0.5973265028797222,0.4385734927654266,0.6035398421326975,29.0
35,0.001,0.4033396460793235,0.6185702256276002,0.4385734927654266,0.6035398421326975,29.0
36,0.001,0.39119888842105865,0.623359278818722,0.4385734927654266,0.6035398421326975,29.0
37,0.001,0.39322014559399,0.6223575031920919,0.4385734927654266,0.6035398421326975,29.0
38,0.001,0.38579417020082474,0.6230244160765073,0.4385734927654266,0.6035398421326975,29.0
39,0.001,0.3962910825555975,0.6215633662017456,0.3753803813457489,0.6619679616503413,39.0
40,0.001,0.37843395972793753,0.6349665459149304,0.3753803813457489,0.6619679616503413,39.0
41,0.001,0.37763561037453736,0.6401704520111513,0.3753803813457489,0.6619679616503413,39.0
42,0.001,0.3759408708323132,0.6332138673478565,0.3753803813457489,0.6619679616503413,39.0
43,0.001,0.3633749657733874,0.6504679609701948,0.3753803813457489,0.6619679616503413,39.0
44,0.001,0.36827661232514813,0.6384442172003824,0.3753803813457489,0.6619679616503413,39.0
45,0.001,0.35126833854751155,0.6574009142915124,0.3753803813457489,0.6619679616503413,39.0
46,0.001,0.3492504713887518,0.6552798011410675,0.3753803813457489,0.6619679616503413,39.0
47,0.001,0.34844355048103764,0.6560172156052037,0.3753803813457489,0.6619679616503413,39.0
48,0.001,0.3401366031982682,0.6626573481611678,0.3753803813457489,0.6619679616503413,39.0
49,0.001,0.33997188542376866,0.6665829658502012,0.43421377837657926,0.6223988114206249,49.0
50,0.001,0.3344207362017848,0.6737069720963063,0.43421377837657926,0.6223988114206249,49.0
51,0.001,0.3310202387246219,0.6743791439689503,0.43421377837657926,0.6223988114206249,49.0
52,0.001,0.3394474004479972,0.6660370047225307,0.43421377837657926,0.6223988114206249,49.0
53,0.001,0.33043487640944397,0.6768779285451217,0.43421377837657926,0.6223988114206249,49.0
54,0.001,0.3348307487639514,0.668888660673967,0.43421377837657926,0.6223988114206249,49.0
55,0.001,0.32731966708194127,0.674636618333635,0.43421377837657926,0.6223988114206249,49.0
56,0.001,0.31846200877969916,0.6795141977228847,0.43421377837657926,0.6223988114206249,49.0
57,0.001,0.3171484609219161,0.6861894028507245,0.43421377837657926,0.6223988114206249,49.0
58,0.001,0.3146146959201856,0.6820059160225072,0.43421377837657926,0.6223988114206249,49.0
59,0.001,0.3193660077046264,0.6738354009550074,0.34798747807741165,0.6806481241280596,59.0
60,0.001,0.3054462512108413,0.6940978761833222,0.34798747807741165,0.6806481241280596,59.0
61,0.001,0.29920596730980004,0.6948296843734993,0.34798747807741165,0.6806481241280596,59.0
62,0.001,0.30989187684926117,0.6877314699333047,0.34798747807741165,0.6806481241280596,59.0
63,0.001,0.3042330372739922,0.705191074674879,0.34798747807741165,0.6806481241280596,59.0
64,0.001,0.28463243218985473,0.7137895778367302,0.34798747807741165,0.6806481241280596,59.0
65,0.001,0.2972578027031638,0.7063192679312826,0.34798747807741165,0.6806481241280596,59.0
66,0.001,0.29677352851087396,0.7038122153599666,0.34798747807741165,0.6806481241280596,59.0
67,0.001,0.28481595556844364,0.7117867841945392,0.34798747807741165,0.6806481241280596,59.0
68,0.001,0.28977506201375614,0.7029349927634584,0.34798747807741165,0.6806481241280596,59.0
69,0.001,0.28762387789108534,0.7085921257267204,0.3653003132343292,0.6465345418732781,69.0
70,0.001,0.27948408269069414,0.7111694258806581,0.3653003132343292,0.6465345418732781,69.0
71,0.001,0.2873230552808805,0.7132765487584265,0.3653003132343292,0.6465345418732781,69.0
72,0.001,0.28428721021522174,0.7109932921072804,0.3653003132343292,0.6465345418732781,69.0
73,0.001,0.28604693270542403,0.709766537577621,0.3653003132343292,0.6465345418732781,69.0
74,0.001,0.27238448743115773,0.7256675955276348,0.3653003132343292,0.6465345418732781,69.0
75,0.001,0.27801376242529263,0.7213216437680389,0.3653003132343292,0.6465345418732781,69.0
76,0.001,0.27241666140881454,0.7238440267348409,0.3653003132343292,0.6465345418732781,69.0
77,0.001,0.28209010714834387,0.7143468700796543,0.3653003132343292,0.6465345418732781,69.0
78,0.001,0.27347572960636835,0.7190100893659132,0.3653003132343292,0.6465345418732781,69.0
79,0.001,0.2631655277853662,0.7337166890086967,0.3845959323644638,0.6552089084230336,79.0
80,0.001,0.2748283703218807,0.7216497156339179,0.3845959323644638,0.6552089084230336,79.0
81,0.001,0.26595399528741837,0.7324864211102682,0.3845959323644638,0.6552089084230336,79.0
82,0.001,0.26094981215216895,0.7364408154717326,0.3845959323644638,0.6552089084230336,79.0
83,0.001,0.2629718106578697,0.7362850319284162,0.3845959323644638,0.6552089084230336,79.0
84,0.001,0.26343108070167626,0.7302754790096261,0.3845959323644638,0.6552089084230336,79.0
85,0.001,0.26093568923798477,0.7337282011519124,0.3845959323644638,0.6552089084230336,79.0
86,0.001,0.258629421280189,0.7368922684288698,0.3845959323644638,0.6552089084230336,79.0
87,0.001,0.2605056512084874,0.7370492892109405,0.3845959323644638,0.6552089084230336,79.0
88,0.001,0.24528373303738507,0.7506293082555475,0.3845959323644638,0.6552089084230336,79.0
89,0.001,0.26544433391906996,0.7354782418621835,0.31298379600048065,0.7060601429235868,89.0
90,0.001,0.261787974698977,0.7275053977645329,0.31298379600048065,0.7060601429235868,89.0
91,0.001,0.2482266937467185,0.7503242989626961,0.31298379600048065,0.7060601429235868,89.0
92,0.001,0.25888030942190776,0.7365875209265007,0.31298379600048065,0.7060601429235868,89.0
93,0.001,0.23931905728849498,0.7566838781605004,0.31298379600048065,0.7060601429235868,89.0
